"","ID","bigelow_id","latitude","longitude"
"1","3/4 BUOY","BUOY",43.477,-70.315
"2","DRE 2","LOBO1",44,-69.54
"3","DRE 4","LOBO2",43.934,-69.583
"4","DRE 5","UNE3",43.843,-69.571
"5","RAM","RAM",43.466,-70.359
"6","Wood","WOOD",43.457,-70.345
